drug_plan_id,pharmacy_benefit_type,drug_tier,cost_type,value,option,min_value,max_value,applicability,is_deleted
DP-DSNP,1-month-in-retail,preferred-generic,copay,0.00,no-charge,,,,
DP-DSNP,1-month-in-retail,generic,copay,5.00,charge,,,,
DP-DSNP,1-month-in-retail,preferred-brand,copay,47.00,charge,,,,
DP-DSNP,1-month-in-retail,non-preferred-brand,copay,0.00,copay-not-applicable,,,,
DP-DSNP,1-month-in-retail,non-preferred-brand,coinsurance,25,after-deductible,,,,
DP-DSNP,1-month-in-retail,specialty,copay,0.00,copay-not-applicable,,,,
DP-DSNP,1-month-in-retail,specialty,coinsurance,33,charge,,,,
DP-DSNP,3-month-in-mail,preferred-generic,copay,0.00,no-charge,,,,
DP-DSNP,3-month-in-mail,generic,copay,10.00,charge,,,,
DP-DSNP,3-month-in-mail,preferred-brand,copay,94.00,charge,,,,
DP-ISNP,1-month-in-retail,preferred-generic,copay,0.00,copay-not-applicable,,,,
DP-ISNP,1-month-in-retail,preferred-generic,coinsurance,25,after-deductible,,5.10,,
DP-ISNP,1-month-in-retail,preferred-brand,copay,45.00,charge,,,,
