plan_id,plan_identifier,drug_plan_id,plan_name,status,plan_type,period_start,period_end,coverage_area_states,owned_by_org_npi,administered_by_org_npi,network_ids,member_phone,marketing_url,summary_url,formulary_url,formulary_ids,pharmacy_benefit_type,drug_tier,copay_amount,copay_option,coinsurance_rate,coinsurance_option,last_updated,is_deleted
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,1-month-in-retail,preferred-generic,0.00,no-charge,,,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,1-month-in-retail,generic,5.00,charge,,,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,1-month-in-retail,preferred-brand,47.00,charge,,,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,1-month-in-retail,non-preferred-brand,,copay-not-applicable,25,after-deductible,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,1-month-in-retail,specialty,,copay-not-applicable,33,charge,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,3-month-in-mail,preferred-generic,0.00,no-charge,,,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,3-month-in-mail,generic,10.00,charge,,,2026-10-01T09:00:00-05:00,
PLAN-DSNP,H6776-001-000,,Example Health D-SNP,active,mediadv,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551002,https://example.org/plans/dsnp,https://example.org/plans/dsnp/benefits,https://example.org/plans/dsnp/formulary,FORM-2027-A,3-month-in-mail,preferred-brand,94.00,charge,,,2026-10-01T09:00:00-05:00,
PLAN-ISNP,H6776-002-000,,Example Health I-SNP,active,mediadvhmo,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551003,https://example.org/plans/isnp,https://example.org/plans/isnp/benefits,https://example.org/plans/isnp/formulary,FORM-2027-B,1-month-in-retail,preferred-generic,0.00,no-charge,0,coinsurance-not-applicable,2026-10-01T09:00:00-05:00,
PLAN-ISNP,H6776-002-000,,Example Health I-SNP,active,mediadvhmo,2027-01-01,2027-12-31,NY,9999999993,,NET-001,8885551003,https://example.org/plans/isnp,https://example.org/plans/isnp/benefits,https://example.org/plans/isnp/formulary,FORM-2027-B,1-month-in-retail,preferred-brand,45.00,charge,,,2026-10-01T09:00:00-05:00,
